Date,USDKRW,WTI,DXY
2015-01-02,1103.73,52.72,102.9027
2015-01-05,1109.07,50.05,103.4976
2015-01-06,1098.14,47.98,103.2938
2015-01-07,1101.51,48.69,103.6316
2015-01-08,1096.19,48.8,103.2799
2015-01-09,1086.14,48.35,103.1213
2015-01-12,1083.25,46.06,103.2372
2015-01-13,1080.42,45.92,103.27
2015-01-14,1080.45,48.49,103.0903
2015-01-15,1077.94,46.37,103.0829
2015-01-16,1076.68,48.49,103.2189
2015-01-20,1087.17,46.79,103.5233
2015-01-21,1081.94,47.85,103.7858
2015-01-22,1081.75,45.93,103.9271
2015-01-23,1075.75,45.26,104.3676
2015-01-26,1079.42,44.8,104.4818
2015-01-27,1075.31,45.84,104.1646
2015-01-28,1084.84,44.08,104.4737
2015-01-29,1098.6,44.12,105.2763
2015-01-30,1104.3,47.79,105.5884
2015-02-02,1099.61,49.25,105.2058
2015-02-03,1096.06,53.04,104.6063
2015-02-04,1086.79,48.45,104.785
2015-02-05,1087.05,50.48,104.4915
2015-02-06,1097.26,51.66,105.1283
2015-02-09,1096.4,52.99,104.9889
2015-02-10,1098.61,50.06,105.2897
2015-02-11,1108.19,48.8,105.7901
2015-02-12,1100.87,51.17,104.9385
2015-02-13,1097.2,52.66,104.8452
2015-02-18,1112.82,52.13,105.2514
2015-02-19,1110.69,51.12,105.1407
2015-02-20,1110.06,49.95,105.3387
2015-02-23,1108.25,49.56,105.5359
2015-02-24,1108.05,48.48,105.5472
2015-02-25,1101.53,50.25,105.0503
2015-02-26,1100.33,47.65,105.5021
2015-02-27,1100.65,49.84,105.5981
2015-03-02,1101.46,49.59,105.8151
2015-03-03,1095.65,50.43,105.5562
2015-03-04,1100.2,51.53,106.1333
2015-03-06,1110.36,49.61,107.4337
2015-03-09,1114.18,49.95,107.5199
2015-03-10,1123.32,48.42,108.1165
2015-03-11,1131.33,48.06,108.5235
2015-03-12,1120.13,47.12,108.1741
2015-03-13,1135.7,44.88,108.9174
2015-03-16,1129.62,43.93,108.6422
2015-03-17,1127.69,43.39,108.5805
2015-03-18,1127.09,44.63,108.408
2015-03-19,1121.21,44.02,108.1826
2015-03-20,1113.87,46.0,107.1671
2015-03-23,1106.68,47.4,106.5022
2015-03-24,1104.2,47.03,106.4401
2015-03-25,1099.72,48.75,106.2636
2015-03-26,1103.59,51.41,106.5582
2015-03-27,1103.6,48.83,106.8916
2015-03-30,1106.39,48.66,107.3941
2015-03-31,1107.71,47.72,107.4396
2015-04-01,1098.1,50.12,107.06
2015-04-02,1089.49,49.13,106.6738
2015-04-06,1083.38,52.08,105.7876
2015-04-07,1093.76,53.95,106.4488
2015-04-08,1093.77,50.44,106.4231
2015-04-09,1093.8,50.79,107.0335
2015-04-10,1093.13,51.63,107.4526
2015-04-13,1100.41,51.95,107.7508
2015-04-14,1090.76,53.3,107.0547
2015-04-15,1095.07,56.25,107.1855
2015-04-16,1086.89,56.69,106.2761
2015-04-17,1081.99,55.71,106.329
2015-04-20,1081.27,56.37,106.4902
2015-04-21,1081.54,55.58,106.5582
2015-04-22,1080.64,56.17,106.5815
2015-04-23,1080.0,56.59,106.1658
2015-04-24,1075.85,55.98,105.905
2015-04-27,1071.01,55.56,105.6891
2015-04-28,1063.03,57.05,105.1234
2015-04-29,1066.48,58.55,104.5634
2015-04-30,1076.74,59.62,105.312
2015-05-01,1080.22,59.1,105.6382
2015-05-04,1081.19,58.92,105.6679
2015-05-05,1080.46,60.38,105.2396
2015-05-06,1077.23,60.93,104.6935
2015-05-07,1093.55,58.99,105.1941
2015-05-08,1087.28,59.41,104.8424
2015-05-11,1095.39,59.23,105.3075
2015-05-12,1093.81,60.72,104.8924
2015-05-13,1089.72,60.5,104.3608
2015-05-14,1089.46,59.89,104.2359
2015-05-15,1083.05,59.73,104.0202
2015-05-18,1088.19,59.44,104.6068
2015-05-19,1093.94,57.3,105.3448
2015-05-20,1097.62,58.96,105.5605
2015-05-21,1092.41,60.18,105.3808
2015-05-22,1093.46,58.88,105.8487
2015-05-26,1106.06,57.29,106.7294
2015-05-27,1107.84,57.51,106.908
